	Description	KEGG Ontology
6666666.754255.peg.628	ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)	KEGG_ENZYME:3.4.21.92
6666666.754255.peg.629	RNA polymerase sigma-54 factor RpoN	
6666666.754255.peg.630	Central glycolytic genes regulator	
6666666.754255.peg.631	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	KEGG_ENZYME:1.2.1.12
6666666.754255.peg.632	Phosphoglycerate kinase (EC 2.7.2.3)	KEGG_ENZYME:2.7.2.3
6666666.754255.peg.633	Triosephosphate isomerase (EC 5.3.1.1)	KEGG_ENZYME:5.3.1.1
6666666.754255.peg.634	Enolase (EC 4.2.1.11)	KEGG_ENZYME:4.2.1.11
6666666.754255.peg.635	FIG00750204: hypothetical protein	
6666666.754255.peg.636	Voltage-gated H(+)/2Cl(-) exchange transporter ClcA	
6666666.754255.peg.637	Protein translocase membrane subunit SecG	
6666666.754255.peg.638	Carboxylesterase (EC 3.1.1.1)	KEGG_ENZYME:3.1.1.1
6666666.754255.peg.639	3'-to-5' exoribonuclease RNase R	
6666666.754255.peg.640	tmRNA-binding protein SmpB	
6666666.754255.peg.641	FIG00744551: hypothetical protein	
6666666.754255.peg.642	FIG00744551: hypothetical protein	
6666666.754255.peg.643	Glutamine ABC transporter%2C substrate-binding protein GlnH / Glutamine ABC transporter%2C permease protein GlnP	
6666666.754255.peg.644	ABC transporter%2C ATP-binding protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.645	FIG00742364: hypothetical protein	
6666666.754255.peg.646	Hydrolase%2C HAD superfamily%2C Cof family	
6666666.754255.peg.647	Uracil-DNA glycosylase%2C family 1 (EC 3.2.2.27)	KEGG_ENZYME:3.2.2.27
6666666.754255.peg.648	Phosphate acetyltransferase (EC 2.3.1.8)	KEGG_ENZYME:2.3.1.8
6666666.754255.peg.649	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	
6666666.754255.peg.650	PhnO protein	
6666666.754255.peg.651	DNA polymerase III%2C epsilon subunit related 3'-5' exonuclease	
6666666.754255.peg.652	Exodeoxyribonuclease III (EC 3.1.11.2)	KEGG_ENZYME:3.1.11.2
6666666.754255.peg.653	hypothetical protein	
6666666.754255.peg.654	Oxidoreductase%2C Gfo/Idh/MocA family	
6666666.754255.peg.655	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)	KEGG_ENZYME:1.3.1.98
6666666.754255.peg.656	Na+/H+ antiporter	
6666666.754255.peg.657	Transcriptional regulator	
6666666.754255.peg.658	Predicted membrane protein	
6666666.754255.peg.659	Diadenylate cyclase spyDAC%3B Bacterial checkpoint controller DisA with nucleotide-binding domain	
6666666.754255.peg.660	Uncharacterized secreted protein associated with spyDAC	
6666666.754255.peg.661	Phosphoglucosamine mutase (EC 5.4.2.10)	KEGG_ENZYME:5.4.2.10
6666666.754255.peg.662	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	KEGG_ENZYME:2.6.1.16
6666666.754255.peg.663	protein containing diguanylate cyclase/phosphodiesterase domain 2 (EAL)	
6666666.754255.peg.664	Hydrolase%2C HAD superfamily	
6666666.754255.peg.665	transcription regulator (putative)	
6666666.754255.peg.666	Aldose 1-epimerase (EC 5.1.3.3)	KEGG_ENZYME:5.1.3.3
6666666.754255.peg.667	FIG00743985: hypothetical protein	
6666666.754255.peg.668	hypothetical protein	
6666666.754255.peg.669	FIG00742643: hypothetical protein	
6666666.754255.peg.670	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)	KEGG_ENZYME:1.-.-.-
6666666.754255.peg.671	FIG00748937: hypothetical protein	
6666666.754255.peg.672	FIG00752350: hypothetical protein	
6666666.754255.peg.673	Glycerol kinase (EC 2.7.1.30)	KEGG_ENZYME:2.7.1.30
6666666.754255.peg.674	FIG00752445: hypothetical protein	
6666666.754255.peg.675	putative arsenate reductase	
6666666.754255.peg.676	hypothetical protein	
6666666.754255.peg.677	Integral membrane protein	
6666666.754255.peg.678	Uncharacterized MFS-type transporter	
6666666.754255.peg.679	Exopolyphosphatase (EC 3.6.1.11)	KEGG_ENZYME:3.6.1.11
6666666.754255.peg.680	Polyphosphate kinase (EC 2.7.4.1)	KEGG_ENZYME:2.7.4.1
6666666.754255.peg.681	Exopolyphosphatase (EC 3.6.1.11)	KEGG_ENZYME:3.6.1.11
6666666.754255.peg.682	Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)	KEGG_ENZYME:2.7.8.-
6666666.754255.peg.683	Transcriptional regulator%2C MarR family	
6666666.754255.peg.684	hypothetical protein	
6666666.754255.peg.685	Xanthine/uracil/thiamine/ascorbate permease family protein	
6666666.754255.peg.686	Mobile element protein	
6666666.754255.peg.687	Pyruvate oxidase (EC 1.2.3.3)	KEGG_ENZYME:1.2.3.3
6666666.754255.peg.688	Pyruvate oxidase (EC 1.2.3.3)	KEGG_ENZYME:1.2.3.3
6666666.754255.peg.689	FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)	KEGG_ENZYME:2.7.7.2,KEGG_ENZYME:2.7.1.26
6666666.754255.peg.690	Pyruvate oxidase (EC 1.2.3.3)	KEGG_ENZYME:1.2.3.3
6666666.754255.peg.691	Proline iminopeptidase (EC 3.4.11.5)	KEGG_ENZYME:3.4.11.5
6666666.754255.peg.692	Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)	KEGG_ENZYME:6.3.4.9,KEGG_ENZYME:6.3.4.10,KEGG_ENZYME:6.3.4.11,KEGG_ENZYME:6.3.4.15
6666666.754255.peg.693	Acyltransferase	
6666666.754255.peg.694	Xaa-Pro dipeptidyl-peptidase (EC 3.4.14.11)	KEGG_ENZYME:3.4.14.11
6666666.754255.peg.695	OsmC/Ohr family protein	
6666666.754255.peg.696	transposase%2C fragment	
6666666.754255.peg.697	Uncharacterized amino acid permease%2C GabP family	
6666666.754255.peg.698	FIG00746593: hypothetical protein	
6666666.754255.peg.699	Pyridoxal kinase (EC 2.7.1.35)	KEGG_ENZYME:2.7.1.35
6666666.754255.peg.700	NUDIX hydrolase	
6666666.754255.peg.701	FIG00752614: hypothetical protein	
6666666.754255.peg.702	Guanylate kinase-like protein	
6666666.754255.peg.703	Zinc uptake regulation protein Zur	
6666666.754255.peg.704	extracellular protein	
6666666.754255.peg.705	FIG00743716: hypothetical protein	
6666666.754255.peg.706	Haloacid dehalogenase/epoxide hydrolase family( EC:3.1.3.18 )	KEGG_ENZYME:3.1.3.18
6666666.754255.peg.707	Aspartate aminotransferase (EC 2.6.1.1)	KEGG_ENZYME:2.6.1.1
6666666.754255.peg.708	D-lactate dehydrogenase (EC 1.1.1.28)	KEGG_ENZYME:1.1.1.28
6666666.754255.peg.709	hypothetical protein	
6666666.754255.peg.710	hypothetical protein	
6666666.754255.peg.711	Glutamine ABC transporter%2C ATP-binding protein GlnQ	
6666666.754255.peg.712	Glutamine ABC transporter%2C substrate-binding protein GlnH	
6666666.754255.peg.713	ABC transporter%2C permease protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.714	ABC transporter%2C permease protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.715	PTS system%2C maltose and glucose-specific IIC component (EC 2.7.1.69) / PTS system%2C maltose and glucose-specific IIB component (EC 2.7.1.69) / PTS system%2C maltose and glucose-specific IIA component (EC 2.7.1.69)	KEGG_ENZYME:2.7.1.69,KEGG_ENZYME:2.7.1.69,KEGG_ENZYME:2.7.1.69
6666666.754255.peg.716	Mobile element protein	
6666666.754255.peg.717	Mobile element protein	
6666666.754255.peg.718	PTS system%2C maltose and glucose-specific IIC component (EC 2.7.1.69) / PTS system%2C maltose and glucose-specific IIB component (EC 2.7.1.69) / PTS system%2C maltose and glucose-specific IIA component (EC 2.7.1.69)	KEGG_ENZYME:2.7.1.69,KEGG_ENZYME:2.7.1.69,KEGG_ENZYME:2.7.1.69
6666666.754255.peg.719	Beta-glucoside bgl operon antiterminator%2C BglG family	
6666666.754255.peg.720	PTS system%2C beta-glucoside-specific IIB component / PTS system%2C beta-glucoside-specific IIC component / PTS system%2C beta-glucoside-specific IIA component	
6666666.754255.peg.721	Mobile element protein	
6666666.754255.peg.722	Mobile element protein	
6666666.754255.peg.723	Cellobiose phosphotransferase system YdjC-like protein	
6666666.754255.peg.724	Serine/threonine exchanger SteT	
6666666.754255.peg.725	transcriptional regulator%2C MarR family	
6666666.754255.peg.726	Integral membrane protein	
6666666.754255.peg.727	transcription regulator (putative)	
6666666.754255.peg.728	FIG00743799: hypothetical protein	
6666666.754255.peg.729	transport protein	
6666666.754255.peg.730	Transcriptional regulator%2C AcrR family	
6666666.754255.peg.731	Ribosome LSU-associated GTP-binding protein HflX	
6666666.754255.peg.732	NTP pyrophosphohydrolase (putative)( EC:3.6.1.- )	KEGG_ENZYME:3.6.1.-
6666666.754255.peg.733	small multidrug resistance family (SMR) protein	
6666666.754255.peg.734	hypothetical protein	
6666666.754255.peg.735	Phosphoglycerate mutase family	
6666666.754255.peg.736	Phosphoglycerate mutase family protein	
6666666.754255.peg.737	Na+/H+ antiporter	
6666666.754255.peg.738	7%2C8-dihydro-8-oxoguanine-triphosphatase (putative)	
6666666.754255.peg.739	DedA protein	
6666666.754255.peg.740	DNA helicase	
6666666.754255.peg.741	Enoyl-[acyl-carrier-protein] reductase [FMN%2C NADH] (EC 1.3.1.9)%2C FabK > refractory to triclosan	KEGG_ENZYME:1.3.1.9
6666666.754255.peg.742	Pantothenate kinase (EC 2.7.1.33)	KEGG_ENZYME:2.7.1.33
6666666.754255.peg.743	GMP synthase [glutamine-hydrolyzing]%2C amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing]%2C ATP pyrophosphatase subunit (EC 6.3.5.2)	KEGG_ENZYME:6.3.5.2,KEGG_ENZYME:6.3.5.2
6666666.754255.peg.744	Prophage Lp1 protein 6	
6666666.754255.peg.745	Predicted transcriptional regulators	
6666666.754255.peg.746	Superfamily I DNA helicase	
6666666.754255.peg.747	membrane-bound protease%2C CAAX family	
6666666.754255.peg.748	Predicted transcriptional regulator	
6666666.754255.peg.749	transport protein	
6666666.754255.peg.750	FIG00744318: hypothetical protein	
6666666.754255.peg.751	Mobile element protein	
6666666.754255.peg.752	Mobile element protein	
6666666.754255.peg.753	MORN motif family protein	
6666666.754255.peg.754	Acyltransferase family	
6666666.754255.peg.755	FIG00906095: hypothetical protein	
6666666.754255.peg.756	hypothetical protein	
6666666.754255.peg.757	hypothetical protein	
6666666.754255.peg.758	Alkaline shock protein 23	
6666666.754255.peg.759	alkaline shock protein	
6666666.754255.peg.760	hypothetical protein	
6666666.754255.peg.761	2-hydroxyhepta-2%2C4-diene-1%2C7-dioateisomerase / 5-carboxymethyl-2-oxo-hex-3-ene-1%2C7-dioatedecarboxylase (putative)( EC:5.3.3.-%2CEC:4.1.1.- )	KEGG_ENZYME:5.3.3.-,KEGG_ENZYME:4.1.1.-
6666666.754255.peg.762	lipoprotein precursor	
6666666.754255.peg.763	FIG00743041: hypothetical protein	
6666666.754255.peg.764	alpha-L-rhamnosidase (putative)( EC:3.2.1.40 )	KEGG_ENZYME:3.2.1.40
6666666.754255.peg.765	hypothetical protein	
6666666.754255.peg.766	putative cytoplasmic protein	
6666666.754255.peg.767	Uncharacterized protein sporadically distributed in bacteria and archaea (STM4496 in Salmonella)	
6666666.754255.peg.768	Mobile element protein	
6666666.754255.peg.769	Mobile element protein	
6666666.754255.peg.770	Mobile element protein	
6666666.754255.peg.771	Mobile element protein	
6666666.754255.peg.772	Type II restriction-modification enzyme%2C methylase family protein (STM4495 in Salmonella)	
6666666.754255.peg.773	Phage integrase	
6666666.754255.peg.774	Type II restriction-modification enzyme%2C methylase family protein (STM4495 in Salmonella)	
6666666.754255.peg.775	putative cytoplasmic protein	
6666666.754255.peg.776	Lysyl aminopeptidase (EC 3.4.11.15)	KEGG_ENZYME:3.4.11.15
6666666.754255.peg.777	hypothetical protein	
6666666.754255.peg.778	Uncharacterized conserved protein	
6666666.754255.peg.779	Mobile element protein	
6666666.754255.peg.780	Putative transposase InsK for insertion sequence element IS150	
6666666.754255.peg.781	Phage protein	
6666666.754255.peg.782	Mobile element protein	
6666666.754255.peg.783	Mobile element protein	
6666666.754255.peg.784	FIG00750565: hypothetical protein	
6666666.754255.peg.785	FIG00751546: hypothetical protein	
6666666.754255.peg.786	hypothetical protein	
6666666.754255.peg.787	putative kinase	
6666666.754255.peg.788	transcriptional regulator%2C Cro/CI family	
6666666.754255.peg.789	Transcriptional regulator%2C Xre family	
6666666.754255.peg.790	Chromosome initiation inhibitor	
6666666.754255.peg.791	redox proteins related to the succinate dehydrogenases and fumarate reductases	
6666666.754255.peg.792	hypothetical protein	
6666666.754255.peg.793	Predicted transcriptional regulators	
6666666.754255.peg.794	FMN-dependent NADH-azoreductase (EC 1.7.1.6)	KEGG_ENZYME:1.7.1.6
6666666.754255.peg.795	Asparaginyl-tRNA synthetase (EC 6.1.1.22)	KEGG_ENZYME:6.1.1.22
6666666.754255.peg.796	Aspartate--ammonia ligase (EC 6.3.1.1)	KEGG_ENZYME:6.3.1.1
6666666.754255.peg.797	hypothetical protein	
6666666.754255.peg.798	Dipeptidase (EC 3.4.-.-)	KEGG_ENZYME:3.4.-.-
6666666.754255.peg.799	FIG00751831: hypothetical protein	
6666666.754255.peg.800	hypothetical protein	
6666666.754255.peg.801	FIG00745097: hypothetical protein	
6666666.754255.peg.802	ATP-dependent DNA helicase RecQ	
6666666.754255.peg.803	Similar to ribosomal large subunit pseudouridine synthase D%2C Bacillus subtilis YjbO type	
6666666.754255.peg.804	Transcriptional regulator%2C ArsR family	
6666666.754255.peg.805	putative membrane protein	
6666666.754255.peg.806	FIG00753340: hypothetical protein	
6666666.754255.peg.807	YibE/F family protein	
6666666.754255.peg.808	Integral membrane protein	
6666666.754255.peg.809	acetyltransferase (putative)	
6666666.754255.peg.810	Phosphoglycerate mutase family protein	
6666666.754255.peg.811	FIG00747797: hypothetical protein	
6666666.754255.peg.812	lipase/esterase	
6666666.754255.peg.813	Xyloside transporter XynT	
6666666.754255.peg.814	UDP-N-acetylmuramoyl-dipeptide--2%2C6-diaminopimelate ligase (EC 6.3.2.13)	KEGG_ENZYME:6.3.2.13
6666666.754255.peg.815	Aspartokinase (EC 2.7.2.4)	KEGG_ENZYME:2.7.2.4
6666666.754255.peg.816	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	KEGG_ENZYME:6.3.5.4
6666666.754255.peg.817	FIG028593: membrane protein	
6666666.754255.peg.818	AzlC family protein	
6666666.754255.peg.819	hypothetical protein	
6666666.754255.peg.820	hypothetical protein	
6666666.754255.peg.821	lipoprotein precursor	
6666666.754255.peg.822	FIG00745505: hypothetical protein	
6666666.754255.peg.823	Uncharacterized MFS-type transporter	
6666666.754255.peg.824	Predicted transcriptional regulator	
6666666.754255.peg.825	FIG00749183: hypothetical protein	
6666666.754255.peg.826	Mn-dependent transcriptional regulator MntR	
6666666.754255.peg.827	Cold shock protein of CSP family	
6666666.754255.peg.828	FIG00745123: hypothetical protein	
6666666.754255.peg.829	Integral membrane protein	
6666666.754255.peg.830	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr%2C subfamily F2	
6666666.754255.peg.831	Membrane-associated phospholipid phosphatase	
6666666.754255.peg.832	lipase/esterase (putative)	
6666666.754255.peg.833	Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128)	KEGG_ENZYME:2.3.1.128
6666666.754255.peg.834	Rrf2 family transcriptional regulator	
6666666.754255.peg.835	Acetolactate synthase%2C catabolic (EC 2.2.1.6)	KEGG_ENZYME:2.2.1.6
6666666.754255.peg.836	hypothetical protein	
6666666.754255.peg.837	Lysine-specific permease	
6666666.754255.peg.838	hypothetical protein	
6666666.754255.peg.839	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	KEGG_ENZYME:3.4.16.4
6666666.754255.peg.840	Deoxyadenosine kinase (EC 2.7.1.76) @ Deoxyguanosine kinase (EC 2.7.1.113)	KEGG_ENZYME:2.7.1.76,KEGG_ENZYME:2.7.1.113
6666666.754255.peg.841	Seryl-tRNA synthetase (EC 6.1.1.11)	KEGG_ENZYME:6.1.1.11
6666666.754255.peg.842	hypothetical protein	
6666666.754255.peg.843	Transcriptional regulator CtsR	
6666666.754255.peg.844	ATP-dependent Clp protease%2C ATP-binding subunit ClpC	
6666666.754255.peg.845	Transcriptional regulator%2C AcrR family	
6666666.754255.peg.846	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	KEGG_ENZYME:2.7.7.6
6666666.754255.peg.847	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	KEGG_ENZYME:2.7.7.6
6666666.754255.peg.848	Late competence protein ComC%2C processing protease	
6666666.754255.peg.849	SSU ribosomal protein S12p (S23e)	
6666666.754255.peg.850	SSU ribosomal protein S7p (S5e)	
6666666.754255.peg.851	Translation elongation factor G	
6666666.754255.peg.852	hypothetical protein	
6666666.754255.peg.853	hypothetical protein	
6666666.754255.peg.854	SSU ribosomal protein S10p (S20e)	
6666666.754255.peg.855	LSU ribosomal protein L3p (L3e)	
6666666.754255.peg.856	LSU ribosomal protein L4p (L1e)	
6666666.754255.peg.857	LSU ribosomal protein L23p (L23Ae)	
6666666.754255.peg.858	LSU ribosomal protein L2p (L8e)	
6666666.754255.peg.859	SSU ribosomal protein S19p (S15e)	
6666666.754255.peg.860	LSU ribosomal protein L22p (L17e)	
6666666.754255.peg.861	SSU ribosomal protein S3p (S3e)	
6666666.754255.peg.862	LSU ribosomal protein L16p (L10e)	
6666666.754255.peg.863	LSU ribosomal protein L29p (L35e)	
6666666.754255.peg.864	SSU ribosomal protein S17p (S11e)	
6666666.754255.peg.865	LSU ribosomal protein L14p (L23e)	
6666666.754255.peg.866	LSU ribosomal protein L24p (L26e)	
6666666.754255.peg.867	LSU ribosomal protein L5p (L11e)	
6666666.754255.peg.868	SSU ribosomal protein S8p (S15Ae)	
6666666.754255.peg.869	LSU ribosomal protein L6p (L9e)	
6666666.754255.peg.870	LSU ribosomal protein L18p (L5e)	
6666666.754255.peg.871	SSU ribosomal protein S5p (S2e)	
6666666.754255.peg.872	LSU ribosomal protein L30p (L7e)	
6666666.754255.peg.873	LSU ribosomal protein L15p (L27Ae)	
6666666.754255.peg.874	Protein translocase subunit SecY	
6666666.754255.peg.875	Adenylate kinase (EC 2.7.4.3)	KEGG_ENZYME:2.7.4.3
6666666.754255.peg.876	Translation initiation factor 1	
6666666.754255.peg.877	SSU ribosomal protein S13p (S18e)	
6666666.754255.peg.878	SSU ribosomal protein S11p (S14e)	
6666666.754255.peg.879	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	KEGG_ENZYME:2.7.7.6
6666666.754255.peg.880	LSU ribosomal protein L17p	
6666666.754255.peg.881	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	KEGG_ENZYME:2.5.1.30
6666666.754255.peg.882	Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	KEGG_ENZYME:2.5.1.30
6666666.754255.peg.883	FIG00743271: hypothetical protein	
6666666.754255.peg.884	NADH dehydrogenase (EC 1.6.99.3) in cluster with putative pheromone precursor	KEGG_ENZYME:1.6.99.3
6666666.754255.peg.885	Putative pheromone precursor lipoprotein%2C related to Cad	
6666666.754255.peg.886	hypothetical protein	
6666666.754255.peg.887	FAD:protein FMN transferase (EC 2.7.1.180) @ FAD:protein FMN transferase (EC 2.7.1.180)%2C HepST-associated	KEGG_ENZYME:2.7.1.180,KEGG_ENZYME:2.7.1.180
6666666.754255.peg.888	ATPase component of general energizing module of ECF transporters	
6666666.754255.peg.889	ATPase component of general energizing module of ECF transporters	
6666666.754255.peg.890	Transmembrane component of general energizing module of ECF transporters	
6666666.754255.peg.891	tRNA pseudouridine(38-40) synthase (EC 5.4.99.12)	KEGG_ENZYME:5.4.99.12
6666666.754255.peg.892	LSU ribosomal protein L13p (L13Ae)	
6666666.754255.peg.893	SSU ribosomal protein S9p (S16e)	
6666666.754255.peg.894	DegV family protein	
6666666.754255.peg.895	FIG00742734: hypothetical protein	
6666666.754255.peg.896	(R)-2-hydroxyacid dehydrogenase%2C similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)	KEGG_ENZYME:1.1.1.272
6666666.754255.peg.897	hypothetical protein	
6666666.754255.peg.898	Transketolase (EC 2.2.1.1)	KEGG_ENZYME:2.2.1.1
6666666.754255.peg.899	Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)	KEGG_ENZYME:1.1.1.282
6666666.754255.peg.900	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	KEGG_ENZYME:2.5.1.54
6666666.754255.peg.901	3-dehydroquinate synthase (EC 4.2.3.4)	KEGG_ENZYME:4.2.3.4
6666666.754255.peg.902	2-oxoglutarate/malate translocator-like protein	
6666666.754255.peg.903	PaaD-like protein (DUF59) involved in Fe-S cluster assembly	
6666666.754255.peg.904	Fumarate hydratase class I%2C beta region (EC 4.2.1.2)%3B L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)	KEGG_ENZYME:4.2.1.2,KEGG_ENZYME:4.2.1.32
6666666.754255.peg.905	Fumarate hydratase class I%2C alpha region (EC 4.2.1.2)%3B L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)	KEGG_ENZYME:4.2.1.2,KEGG_ENZYME:4.2.1.32
6666666.754255.peg.906	Predicted transcriptional regulators	
6666666.754255.peg.907	Triphosphoribosyl-dephospho-CoA synthase (EC 2.4.2.52)	KEGG_ENZYME:2.4.2.52
6666666.754255.peg.908	Manganese ABC transporter%2C ATP-binding protein SitB	
6666666.754255.peg.909	Manganese ABC transporter%2C inner membrane permease protein SitD	
6666666.754255.peg.910	Manganese ABC transporter%2C periplasmic-binding protein SitA	
6666666.754255.peg.911	conserved hypothetical protein	
6666666.754255.peg.912	L-lactate dehydrogenase (EC 1.1.1.27)	KEGG_ENZYME:1.1.1.27
6666666.754255.peg.913	2-oxoglutarate/malate translocator	
6666666.754255.peg.914	Citrate lyase transcriptional regulator CitI	
6666666.754255.peg.915	NADP-dependent malic enzyme (EC 1.1.1.40)	KEGG_ENZYME:1.1.1.40
6666666.754255.peg.916	[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22)	KEGG_ENZYME:6.2.1.22
6666666.754255.peg.917	Citrate lyase gamma chain%2C acyl carrier protein	
6666666.754255.peg.918	Citrate lyase beta chain (EC 4.1.3.6)	KEGG_ENZYME:4.1.3.6
6666666.754255.peg.919	Citrate lyase alpha chain (EC 4.1.3.6)	KEGG_ENZYME:4.1.3.6
6666666.754255.peg.920	FIG00752350: hypothetical protein	
6666666.754255.peg.921	Fumarate hydratase class II (EC 4.2.1.2)	KEGG_ENZYME:4.2.1.2
6666666.754255.peg.922	redox proteins related to the succinate dehydrogenases and fumarate reductases	
6666666.754255.peg.923	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.61)	KEGG_ENZYME:2.7.7.61
6666666.754255.peg.924	Malolactic regulator	
6666666.754255.peg.925	Malolactic regulator	
6666666.754255.peg.926	Malolactic enzyme (EC 1.-.-.-)	KEGG_ENZYME:1.-.-.-
6666666.754255.peg.927	Malate permease	
6666666.754255.peg.928	Uncharacterized amino acid permease%2C GabP family	
6666666.754255.peg.929	Substrate-specific component PanT of predicted pantothenate ECF transporter	
6666666.754255.peg.930	FIG00751360: hypothetical protein	
6666666.754255.peg.931	FIG00744747: hypothetical protein	
6666666.754255.peg.932	FIG00744747: hypothetical protein	
6666666.754255.peg.933	Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	KEGG_ENZYME:1.10.3.-
6666666.754255.peg.934	Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	KEGG_ENZYME:1.10.3.-
6666666.754255.peg.935	Efflux ABC transporter for glutathione/L-cysteine%2C essential for assembly of bd-type respiratory oxidases > CydD subunit	
6666666.754255.peg.936	Efflux ABC transporter for glutathione/L-cysteine%2C essential for assembly of bd-type respiratory oxidases > CydC subunit	
6666666.754255.peg.937	FIG00752164: hypothetical protein	
6666666.754255.peg.938	FIG00748687: hypothetical protein	
6666666.754255.peg.939	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	KEGG_ENZYME:2.5.1.30
6666666.754255.peg.940	Putative prenyltransferase%2C contains 1%2C4-dihydroxy-2-naphthoate octaprenyltransferase domain	
6666666.754255.peg.941	Gfo/Idh/MocA family oxidoreductase	
6666666.754255.peg.942	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	KEGG_ENZYME:3.5.1.28
6666666.754255.peg.943	Xanthine phosphoribosyltransferase (EC 2.4.2.22)	KEGG_ENZYME:2.4.2.22
6666666.754255.peg.944	Integral membrane protein	
6666666.754255.peg.945	Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	KEGG_ENZYME:4.1.1.21
6666666.754255.peg.946	ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12)	KEGG_ENZYME:3.6.4.12
6666666.754255.peg.947	DNA ligase (NAD(+)) (EC 6.5.1.2)	KEGG_ENZYME:6.5.1.2
6666666.754255.peg.948	Putative pheromone cAM373 precursor lipoprotein CamS	
6666666.754255.peg.949	Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)	KEGG_ENZYME:6.3.5.6,KEGG_ENZYME:6.3.5.7
6666666.754255.peg.950	Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)	KEGG_ENZYME:6.3.5.6,KEGG_ENZYME:6.3.5.7
6666666.754255.peg.951	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)	KEGG_ENZYME:6.3.5.6,KEGG_ENZYME:6.3.5.7
6666666.754255.peg.952	Transcription regulator [contains diacylglycerol kinase catalytic domain]	
6666666.754255.peg.953	RNA methyltransferase%2C TrmA family	
6666666.754255.peg.954	transcription regulator (putative)	
6666666.754255.peg.955	Cation-transporting ATPase%2C E1-E2 family	
6666666.754255.peg.956	PTS system%2C cellobiose-specific IIC component	
6666666.754255.peg.957	cell surface hydrolase (putative)	
6666666.754255.peg.958	Transcriptional regulator%2C RpiR family	
6666666.754255.peg.959	lysozyme%2C putative	
6666666.754255.peg.960	conserved hypothetical protein	
6666666.754255.peg.961	Cold shock protein of CSP family	
6666666.754255.peg.962	hypothetical protein	
6666666.754255.peg.963	Oxidoreductase%2C Gfo/Idh/MocA family	
6666666.754255.peg.964	ATP-dependent RNA helicase YfmL	
6666666.754255.peg.965	Universal stress protein family	
6666666.754255.peg.966	PTS system%2C cellobiose-specific IIC component (EC 2.7.1.69)	KEGG_ENZYME:2.7.1.69
6666666.754255.peg.967	cell surface hydrolase (putative)	
6666666.754255.peg.968	hypothetical protein	
6666666.754255.peg.969	hypothetical protein	
6666666.754255.peg.970	hypothetical protein	
6666666.754255.peg.971	FIG00747130: hypothetical protein	
6666666.754255.peg.972	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	KEGG_ENZYME:1.4.1.4
6666666.754255.peg.973	FIG00744969: hypothetical protein	
6666666.754255.peg.974	Beta-lactamase class C and other penicillin binding proteins	
